Temperatur_K,Druck_atm,Phase
600,9.5,LIQUID,Kreuz
605,10.5,LIQUID,Kreuz
610,11.5,LIQUID,Kreuz
615,12.0,LIQUID,Kreuz
620,13.0,LIQUID,Kreuz
625,14.0,LIQUID,Kreuz
630,15.0,LIQUID,Kreuz
635,16.0,LIQUID,Kreuz
640,16.5,LIQUID,Kreuz
645,17.0,LIQUID,Kreuz
650,17.5,LIQUID,Kreuz
655,19.0,LIQUID,Kreuz
660,19.5,LIQUID,Kreuz
665,20.0,LIQUID,Kreuz
670,20.5,LIQUID,Kreuz
675,22.0,LIQUID,Kreuz
680,23.0,LIQUID,Kreuz
685,23.5,LIQUID,Kreuz
690,24.0,LIQUID,Kreuz
630,8.5,VAPOR,Kreis
640,10.5,VAPOR,Kreis
650,11.0,VAPOR,Kreis
660,8.5,VAPOR,Kreis
670,13.0,VAPOR,Kreis
680,15.5,VAPOR,Kreis
685,16.5,VAPOR,Kreis
690,19.5,VAPOR,Kreis
690,24.0,VAPOR,
