amily,name,formula,molar_mass,density,viscosity,comb_enthalpy,Tboil,TSI,Tr,Compound_Class
Unknown,n-Pentane,Unknown,72.15,626.00,0.34,-3508.80,0.00,1.30,0.00,Hydrocarbons
Unknown,n-Hexane,Unknown,86.17,659.00,0.49,-4162.90,0.00,2.50,0.00,Hydrocarbons
Unknown,n-Heptane,Unknown,100.20,684.00,0.70,-4529.20,0.00,4.50,0.00,Hydrocarbons
Unknown,n-Octane,Unknown,114.23,703.00,1.00,-5511.60,0.00,3.20,0.00,Hydrocarbons
Unknown,n-Nonane,Unknown,128.25,718.00,1.40,-6124.80,0.00,4.10,0.00,Hydrocarbons
Unknown,n-Decane,Unknown,142.28,726.14,1.97,-6829.32,0.00,4.30,0.00,Hydrocarbons
Unknown,n-Undecane,Unknown,156.30,740.00,2.76,-7430.90,0.00,4.30,0.00,Hydrocarbons
Unknown,n-Dodecane,Unknown,170.33,748.00,3.78,-8085.30,0.00,4.80,0.00,Hydrocarbons
Unknown,n-Tridecane,Unknown,184.36,756.00,5.17,-8739.00,0.00,5.20,0.00,Hydrocarbons
Unknown,n-Tetradecane,Unknown,198.38,763.00,7.21,-9392.70,0.00,5.40,0.00,Hydrocarbons
Unknown,n-Pentadecane,Unknown,212.41,769.00,9.61,-10046.50,0.00,0.00,0.00,Hydrocarbons
Unknown,n-Hexadecane,Unknown,226.44,773.00,13.24,-10698.50,0.00,0.00,0.00,Hydrocarbons
Unknown,Iso-Butane,Unknown,58.12,594.00,0.21,-1439.61,0.00,2.20,0.00,Hydrocarbons
Unknown,Iso-Pentane,Unknown,72.15,620.00,0.32,-3492.00,0.00,1.60,0.00,Hydrocarbons
Unknown,2-Methyl-Pentane,Unknown,86.17,653.00,0.46,-4185.72,0.00,2.90,0.00,Hydrocarbons
Unknown,2-Methyl-Hexane,Unknown,100.20,679.00,0.65,-4525.30,0.00,3.20,0.00,Hydrocarbons
Unknown,3-Ethyl 2-Methyl-Pentane,Unknown,114.23,719.00,0.99,-5470.50,0.00,0.00,0.00,Hydrocarbons
Unknown,Iso-Octane,Unknown,114.23,692.00,0.72,-5483.22,0.00,5.60,0.00,Hydrocarbons
Unknown,2-Methyl-Octane,Unknown,128.26,713.00,1.33,-6161.49,0.00,3.80,0.00,Hydrocarbons
