Group,b_j
CH3,0.0825
CH2,0.0825
CH,0.0825
Halogenated_substituted_CH3,0.0
Halogenated_substituted_CH2,0.0893
Halogenated_substituted_CH,0.0667
Halogenated_substituted_C,0.0
Br,0.2058
Cl,0.147
F,0.1344
I,0.1908
Double_bond,-0.0742
C6H5_benzene_ring,0.3558
Additional_H_in_ring,0.1446
CH2_as_saturated_ring_member,0.1707
CH_CH2_CH3_adjoining_ring,0.052
NO2_adjoining_ring,0.417
NH2_adjoining_ring,0.7645
F_Cl_adjoining_ring,0.0
OH_for_alcohols,0.2046
COOH_for_acids,0.6896
C_O_for_ketones,0.3217
O_C_O_for_acetates,0.4369
OH_for_phenols,3.442
O_for_ethers,0.109
