No,family,name,formula,molar_mass,density,viscosity,comb_enthalpy,TSI,Tr,Compound_Class,CN,beta_i,specific_energy,CHRatio,Tboil,Tcrit,Pcrit,Omega
1,N-Paraffin,n-Pentane,C5H12,72.15,626.0,0.3377,-3509.0,1.3,0.539,Hydrocarbons,30.0,0.5212,-48.655,0.416,309.22,469.7,33.7,0.252
2,N-Paraffin,n-Hexane,n-C6H14,86.17,659.0,0.488,-4163.0,2.5,0.499,Hydrocarbons,40.0,0.5212,-48.31,0.428,341.88,507.6,30.25,0.3
3,N-Paraffin,n-Heptane,n-C7H16,100.2,684.0,0.6988,-4529.0,2.7,0.469,Hydrocarbons,55.0,0.5212,-45.22,0.4375,371.57,540.2,27.4,0.35
4,N-Paraffin,n-Octane,n-C8H18,114.23,703.0,0.9968,-5512.0,3.2,0.445,Hydrocarbons,60.0,0.5212,-48.25,0.444,398.81,568.7,24.9,0.399
5,N-Paraffin,n-Decane,n-C10H22,142.28,726.14,1.9679,-6829.0,4.3,0.41,Hydrocarbons,80.0,0.5212,-47.99,0.445,447.3,617.7,21.1,0.49
6,N-Paraffin,n-Undecane,n-C11H24,156.3,740.0,2.7573,-7431.0,4.3,0.396,Hydrocarbons,81.0,0.5212,-47.52,0.458,469.08,639.0,19.8,0.537
7,N-Paraffin,n-Dodecane,n-C12H26,170.33,748.0,3.7763,-8085.0,4.8,0.386,Hydrocarbons,80.0,0.5212,-47.45,0.462,489.48,658.0,18.2,0.576
8,N-Paraffin,n-Tridecane,n-C13H28,184.36,756.0,5.1743,-8739.0,5.2,0.375,Hydrocarbons,85.0,0.5212,-47.42,0.464,508.63,675.0,16.8,0.618
9,N-Paraffin,n-Tetradecane,n-C14H30,198.38,763.0,7.2084,-9393.0,5.4,0.365,Hydrocarbons,100.0,0.5212,-47.34,0.466,526.76,693.0,15.7,0.644
10,N-Paraffin,n-Pentadecane,n-C15H32,212.41,769.0,9.614,-10047.0,0.0,0.358,Hydrocarbons,95.0,0.5212,-47.33,0.468,543.83,708.0,14.8,0.685
11,N-Paraffin,n-Hexadecane,n-C16H34,226.44,773.0,13.2384,-10698.0,0.0,0.35,Hydrocarbons,98.0,0.5212,-47.26,0.471,559.98,723.0,14.0,0.718
12,I-Paraffin,Iso-Butane,i-C4H10,58.12,594.0,0.2099,-1440.0,2.2,0.621,Hydrocarbons,20.0,7.3717,-24.77,0.4,261.34,407.85,36.4,0.186
13,I-Paraffin,Iso-Pentane,i-C5H12,72.15,620.0,0.3185,-3492.0,1.6,0.55,Hydrocarbons,25.0,7.3717,-48.42,0.416,300.99,460.39,33.81,0.229
14,I-Paraffin,2-Methyl-Pentane,i-C6H14,86.17,653.0,0.4562,-4186.0,2.9,0.509,Hydrocarbons,30.0,7.3717,-48.58,0.428,333.4,497.5,30.1,0.278
15,I-Paraffin,2-Methyl-Hexane,i-C7H16,100.2,679.0,0.6492,-4525.0,3.2,0.478,Hydrocarbons,37.0,7.3717,-45.15,0.4375,363.18,530.1,27.3,0.331
16,I-Paraffin,3-Ethyl 2-Methyl-Pentane,i-C8H18,114.23,719.0,0.987,-5471.0,0.0,0.446,Hydrocarbons,18.0,7.3717,-47.9,0.444,388.81,567.0,27.0,0.331
17,I-Paraffin,Iso-Octane,i-C8H18,114.23,692.0,0.7227,-5483.0,5.6,0.465,Hydrocarbons,42.0,7.3717,-48.0,0.444,372.39,543.9,25.7,0.304
18,I-Paraffin,2-Methyl-Octane,i-C9H20,128.25,713.4,1.3273,-6161.0,3.8,0.431,Hydrocarbons,42.0,7.3717,-48.06,0.45,416.43,587.0,23.1,0.423
19,I-Paraffin,3.4-Di-Methyl-Heptane,i-C9H20,128.25,731.4,1.3725,-6153.0,3.5,0.428,Hydrocarbons,25.0,7.3717,-47.88,0.45,413.55,574.89,23.43,0.379
20,I-Paraffin,2.7-Di-Methyl-Octane,i-C10H22,142.28,736.8,1.3581,-6812.0,4.3,0.441,Hydrocarbons,30.0,7.3717,-47.89,0.454,433.14,609.9,21.0,0.438
21,I-Paraffin,2-Methyl-Nonane,i-C10H22,142.26,726.3,1.5578,-6820.0,0.0,0.429,Hydrocarbons,48.0,7.3717,-47.88,0.454,440.02,610.7,21.0,0.459
22,I-Paraffin,2.4.5-Tri-Methyl-Heptane,i-C10H22,142.28,737.3,1.1383,-6803.0,0.0,0.417,Hydrocarbons,30.0,7.3717,-47.83,0.454,429.65,600.24,21.55,0.433
23,I-Paraffin,2.3.3-Tri-Methyl-Octane,i-C11H24,156.3,754.7,2.1858,-7479.0,0.0,0.402,Hydrocarbons,35.0,7.3717,-47.89,0.458,455.15,622.57,19.81,0.504
24,I-Paraffin,2-Methyl-Decane,i-C11H24,156.3,726.4,2.5319,-7479.0,4.3,0.402,Hydrocarbons,48.0,7.3717,-47.88,0.458,462.4,629.9,19.48,0.519
25,I-Paraffin,2-Methyl-Undecane,i-C12H26,170.33,745.8,3.4912,-8162.0,0.0,0.39,Hydrocarbons,50.0,7.3717,-47.94,0.4615,483.15,637.74,17.94,0.672
26,I-Paraffin,2-Methyl-Dodecane,i-C13H28,184.36,757.0,4.9131,-8796.0,0.0,0.378,Hydrocarbons,50.0,7.3717,-47.73,0.4642,500.28,659.72,16.56,0.632
